file,folder,label,mi,cc_avg,cc_max,halstead_volume,halstead_difficulty,halstead_effort,loc,sloc,lloc,lz_nloc,lz_cc_avg,lz_cc_max,lz_functions,,,
human_458.py,human,Human,75.09,7,7,79.95,1.91,152.64,30,30,31,30,7,7,1,,,
human_459.py,human,Human,100,2,2,4.75,0.5,2.38,6,5,5,5,2,2,1,,,
human_46.py,human,Human,77.06,1,1,12,0.67,8,5,5,5,5,1,1,1,,,
human_460.py,human,Human,73.04,3,3,4.75,0.5,2.38,9,9,10,9,3,3,1,,,
human_461.py,human,Human,65.56,4,4,53.3,2.5,133.26,9,9,10,9,4,4,1,,,
human_462.py,human,Human,76.15,2,2,15.51,1,15.51,5,5,5,5,2,2,1,,,
human_463.py,human,Human,93.09,6,6,2,0.5,1,11,10,10,10,6,6,1,,,
human_464.py,human,Human,100,2,2,0,0,0,7,7,7,7,2,2,1,,,
human_465.py,human,Human,100,2,2,0,0,0,8,8,6,8,2,2,1,,,
human_466.py,human,Human,81.01,3,3,3,1,3,5,5,5,5,3,3,1,,,
human_467.py,human,Human,85.5,7,7,96,4.5,432,32,21,21,21,7,7,1,,,
human_468.py,human,Human,76.8,3,3,24,1.5,36,4,4,4,4,3,3,1,,,
human_469.py,human,Human,100,3,3,0,0,0,12,12,7,12,3,3,1,,,
human_47.py,human,Human,100,2,2,0,0,0,3,3,3,3,2,2,1,,,
human_470.py,human,Human,83.36,2,2,38.05,2,76.11,32,29,15,29,1.5,2,2,,,
human_471.py,human,Human,100,1,1,0,0,0,5,5,3,5,1,1,1,,,
human_472.py,human,Human,68.59,3,3,28.53,1.5,42.79,11,11,9,11,3,3,1,,,
human_473.py,human,Human,86.47,2,2,39.86,1,39.86,35,19,23,19,2,2,1,,,
human_474.py,human,Human,82.72,4,4,15.51,1,15.51,14,13,13,13,4,4,1,,,
human_475.py,human,Human,100,1,1,0,0,0,3,3,3,3,1,1,1,,,
human_476.py,human,Human,100,1,1,0,0,0,7,7,3,7,1,1,1,,,
human_477.py,human,Human,100,1,1,0,0,0,7,5,5,5,1,1,1,,,
human_478.py,human,Human,79.64,1,1,25.27,0.5,12.63,5,5,3,5,1,1,1,,,
human_479.py,human,Human,69.57,3,3,20.68,2.5,51.7,8,8,9,8,3,3,1,,,
human_48.py,human,Human,100,1,1,0,0,0,17,16,6,16,1,1,1,,,
human_480.py,human,Human,78.02,2,2,4.75,0.5,2.38,7,7,6,7,2,2,1,,,
human_481.py,human,Human,71.68,3,3,36.54,2.33,85.26,7,7,6,7,3,3,1,,,
human_482.py,human,Human,84.26,7,7,11.61,1,11.61,29,26,16,26,7,7,1,,,
human_483.py,human,Human,76.42,3,3,4.75,0.5,2.38,7,7,7,7,3,3,1,,,
human_484.py,human,Human,44.4,17,17,118.59,2.81,333.54,75,75,60,75,17,17,1,,,
human_485.py,human,Human,58.11,7,7,125.1,2.86,357.42,16,16,16,16,7,7,1,,,
human_486.py,human,Human,65.17,4,4,11.61,1,11.61,20,20,17,20,4,4,1,,,
human_487.py,human,Human,100,2,2,0,0,0,6,6,6,6,2,2,1,,,
human_488.py,human,Human,97.48,2,2,15.51,1,15.51,16,11,11,11,2,2,1,,,
human_489.py,human,Human,66.26,4,4,24,1.5,36,24,24,12,24,4,4,1,,,
human_49.py,human,Human,84.58,2,2,4.75,0.5,2.38,3,3,3,3,2,2,1,,,
human_490.py,human,Human,100,4,4,0,0,0,13,11,9,11,4,4,1,,,
human_491.py,human,Human,61.24,5,5,18.09,1,18.09,24,24,22,24,5,5,1,,,
human_492.py,human,Human,64.3,13,13,269.64,4.54,1223.35,56,52,44,52,13,13,1,,,
human_493.py,human,Human,78.2,4,4,358.13,2.26,808.1,42,27,27,27,4,4,1,,,
human_494.py,human,Human,100,1,1,0,0,0,5,5,5,5,1,1,2,,,
human_495.py,human,Human,63.65,12,12,250,5.67,1416.67,36,33,30,33,12,12,1,,,
human_496.py,human,Human,100,1,1,0,0,0,5,5,5,5,1,1,1,,,
human_497.py,human,Human,77.01,7,7,88.81,6.86,608.99,14,13,13,13,6,6,1,,,
human_498.py,human,Human,81.32,4,4,44.97,1.5,67.46,3,3,2,3,4,4,1,,,
human_499.py,human,Human,94.47,5,5,6.34,0.5,3.17,36,22,20,22,3,5,2,,,
human_5.py,human,Human,100,2,2,0,0,0,5,5,5,5,2,2,1,,,
human_50.py,human,Human,84.93,10,10,78.14,4.33,338.6,22,17,17,17,10,10,1,,,
human_51.py,human,Human,68.12,3,3,24,1.5,36,15,15,10,15,3,3,1,,,
human_52.py,human,Human,76.01,3,3,15.51,1,15.51,5,5,5,5,3,3,1,,,
human_53.py,human,Human,100,1,1,13.93,0.5,6.97,9,5,5,5,1,1,1,,,
human_54.py,human,Human,89,4,4,4.75,0.5,2.38,21,20,12,20,4,4,1,,,
human_55.py,human,Human,57.58,1,1,96.79,1.8,174.23,20,20,20,20,1.67,3,3,,,
human_56.py,human,Human,77.88,3,3,4.75,0.5,2.38,6,6,6,6,3,3,1,,,
human_57.py,human,Human,72.87,10,10,169.64,3.16,535.72,19,19,20,19,10,10,1,,,
human_58.py,human,Human,100,1,1,0,0,0,11,11,7,11,1,1,1,,,
human_59.py,human,Human,100,10,10,0,0,0,35,35,32,35,10,10,1,,,
human_6.py,human,Human,69.45,3,3,15.51,1,15.51,10,10,10,10,3,3,1,,,
human_60.py,human,Human,53.53,10,10,139.32,3.89,541.78,28,28,24,28,10,10,1,,,
human_61.py,human,Human,79.61,3,3,4.75,0.5,2.38,5,5,5,5,3,3,1,,,
human_62.py,human,Human,100,1,1,0,0,0,6,6,6,6,1,1,1,,,
human_63.py,human,Human,61.27,15,15,197.15,4.83,952.91,49,46,42,46,15,15,1,,,
human_64.py,human,Human,76.76,12,12,271.85,3.62,984.29,89,51,33,51,12,12,1,,,
human_65.py,human,Human,100,2,2,0,0,0,5,5,4,5,2,2,1,,,
human_66.py,human,Human,67.85,8,8,68.53,2.4,164.48,51,49,24,49,8,8,1,,,
human_67.py,human,Human,69.2,10,10,116.69,3.64,425.09,56,50,37,50,10,10,1,,,
human_68.py,human,Human,74.09,12,12,201.91,4.67,942.24,45,38,26,38,12,12,1,,,
human_69.py,human,Human,79.74,2,2,4.75,0.5,2.38,5,5,5,5,2,2,1,,,
human_7.py,human,Human,50.41,14,14,147.16,3.24,476.11,30,30,31,30,5.67,14,3,,,
human_70.py,human,Human,75.73,7,7,101.95,3.69,376.43,20,18,19,18,7,7,1,,,
human_71.py,human,Human,96.26,4,4,6.34,0.5,3.17,9,9,10,9,4,4,1,,,
human_72.py,human,Human,83.79,10,10,91.38,1.33,121.84,32,23,22,23,10,10,1,,,
human_73.py,human,Human,100,1,1,0,0,0,4,4,4,4,1,1,1,,,
human_74.py,human,Human,100,3,3,0,0,0,15,12,10,12,3,3,1,,,
human_75.py,human,Human,63.4,5,5,103.73,2.67,276.6,24,24,10,24,5,5,1,,,
human_76.py,human,Human,81.01,3,3,3,1,3,5,5,5,5,3,3,1,,,
human_77.py,human,Human,100,2,2,0,0,0,4,4,4,4,2,2,1,,,
human_78.py,human,Human,59.87,9,9,117.61,3,352.84,45,44,34,44,9,9,1,,,
human_79.py,human,Human,58.63,9,9,24,1.5,36,27,27,25,27,10,10,1,,,
human_8.py,human,Human,100,1,1,0,0,0,2,2,2,2,1,1,1,,,
human_80.py,human,Human,87.1,7,7,36,2.4,86.4,17,14,14,14,7,7,1,,,
